Timestamp,1. Which university do you study at?,2. What is your academic level?,3. What is your faculty? ,4. How familiar are you with Artificial Intelligence (AI) tools used in education? ,5. Which AI-powered tools have you used for academic purposes? ,6. How often do you use AI tools for educational purposes? ,7. For which academic activities do you use AI tools? (Select all that apply),8. Do you think AI tools improve your learning experiences? ,9. How do AI tools impact your academic performances? ,10. Do you believe AI tools help in understanding complex academic concepts? ,11. Do you think AI makes students overly dependent on technology? ,12. How do your teacher or instructors perceive AI-assisted learning? ,13. What challenges have you faced while using AI tools in education?  (Select all that apply) ,14. Do you trust the information provided by AI tools?,15. Do you feel AI-generated content lacks originality and creativity? ,16. Have you ever been discouraged from using AI tools due to ethical concerns? ,17. Do you believe AI should be integrated into the university curriculum? ,18. What improvements would you like to see in AI tools for education? (Select all that apply),"19. What support system (e.g., workshops,funding, infrastructure) are needed for effective AI adoption in your institution?",20. What is your overall opinion on the impact of AI tools in higher education? 
2/27/2025 0:41:35,PUST,Undergraduate (4th Year),Engineering and Technology,Extremely familiar,"Chatgpt, Gemini, AI-powered search engines (e.g., perplexity AI)",Daily,"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports, ",Strongly agree,Highly positive,Strongly agree,Agree,Encouraging and supportive,Limited access,Most of the time,Agree,No,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
2/27/2025 0:43:22,PUST,Undergraduate (2nd Year),Science,Very familiar,Chatgpt,Daily,Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,Limited access,Most of the time,Agree,Yes,Not sure,Better understanding of context and intent,Workshop ,Its good enough 
2/27/2025 0:44:37,PUST,Undergraduate (1st Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, Deepseek",Daily,"Writing and grammar correction, Programing and coding help, Studying and exam preparation",Agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Limited access,Most of the time,Agree,No,"Yes, as a core subject",More accuracy in responses,,
2/27/2025 0:46:24,PUST,Undergraduate (4th Year),Humanities and Social Science,Very familiar,"Chatgpt, Gemini, Gammerly, Quillbot",Daily,"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Disagree,Yes,"Yes, as an elective course",More accuracy in responses,workshops ,It is extremely helpful to me. It has a positive effect on higher education.
2/27/2025 0:46:47,PUST,Undergraduate (2nd Year),Engineering and Technology,Not familiar at all,"Chatgpt, Gemini",Rarely (Once a month or less),"Research assistance, Writing and grammar correction, Programing and coding help",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Lack of knowledge about AI tools,Most of the time,Agree,No,"Yes, as a core subject",Better understanding of context and intent,"Workshop, infrastructure ","enabling personalized learning experiences, automating administrative tasks, providing real-time feedback, and facilitating deeper engagement with course material"
2/27/2025 0:55:05,PUST,Undergraduate (1st Year),Science,Slightly familiar,Chatgpt,Daily,Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,Limited access,Sometimes,Agree,Yes,Not sure,More accuracy in responses,,
2/27/2025 0:56:10,PUST,Undergraduate (2nd Year),Humanities and Social Science,Very familiar,Gemini,Frequently (a few times a week),"Programing and coding help, Studying and exam preparation",Agree,Highly positive,Agree,Agree,Not sure,Limited access,Most of the time,Neutral,No,"Yes, as a core subject",Better understanding of context and intent,Funding ,It's will be  effective in higher education. 
2/27/2025 0:58:35,PUST,Graduate (Master’s),Humanities and Social Science,Extremely familiar,"Chatgpt, AI-powered search engines (e.g., perplexity AI)",Daily,"Writing and grammar correction, Studying and exam preparation",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,"Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Always,Strongly disagree,Yes,"Yes, as a core subject","More accuracy in responses, Stronger plagiarism detection",Workshops,Positive
2/27/2025 1:12:07,PUST,Undergraduate (2nd Year),Science,Very familiar,"Chatgpt, Gemini",Daily,Studying and exam preparation,Agree,Somewhat positive,Strongly agree,Neutral,Not sure,Limited access,Most of the time,Neutral,,,,,
2/27/2025 1:14:28,PUST,Graduate (Master’s),Humanities and Social Science,Very familiar,"Chatgpt, AI-powered search engines (e.g., perplexity AI)",Frequently (a few times a week),"Writing and grammar correction, Creating presentations and reports",Neutral,Somewhat positive,Agree,Disagree,Encouraging and supportive,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Agree,No,"No, it should not be part of the curriculum",Better understanding of context and intent,,
2/27/2025 1:45:07,PUST,Undergraduate (1st Year),Science,Somewhat familiar,"Chatgpt, Gemini",Daily,"Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Neutral,Neutral,Inaccurate or misleading information,Sometimes,Disagree,Yes,"Yes, as an elective course",Improved ethical guidelines for usage,Infrastructure ,Usefull
2/27/2025 2:56:52,PUST,Undergraduate (1st Year),Engineering and Technology,Extremely familiar,"Chatgpt, Gemini, Copilot",Daily,"Studying and exam preparation, Creating presentations and reports",Strongly agree,Somewhat positive,Strongly agree,Agree,Encouraging and supportive,Limited access,Most of the time,Agree,No,"No, it should not be part of the curriculum",More accuracy in responses,,
2/27/2025 3:21:42,PUST,Undergraduate (1st Year),Humanities and Social Science,Not familiar at all,Chatgpt,Rarely (Once a month or less),Studying and exam preparation,Agree,Highly positive,Agree,Agree,Encouraging and supportive,Lack of knowledge about AI tools,Most of the time,Agree,No,"Yes, as a core subject",Better understanding of context and intent,,Very high impact 
2/27/2025 7:20:53,PUST,Undergraduate (1st Year),Life and Earth science ,Very familiar,Chatgpt,Daily,Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Neutral,"Lack of knowledge about AI tools, Inaccurate or misleading information",Most of the time,Neutral,No,"Yes, as an elective course",More accuracy in responses,,
2/27/2025 9:21:29,PUST,Undergraduate (1st Year),Humanities and Social Science,Not familiar at all,"Chatgpt, Gemini, AI-powered search engines (e.g., perplexity AI)",Daily,"Research assistance, Studying and exam preparation",Agree,Somewhat negative,Agree,Agree,Discouraging and restrictive,Lack of knowledge about AI tools,Sometimes,Agree,Yes,"Yes, as a core subject",Better understanding of context and intent,Yes but limited.. ,"Maybe bad,,because student cannot study books dependent only AI"
2/27/2025 9:25:55,PUST,Undergraduate (1st Year),Humanities and Social Science,Extremely familiar,"Chatgpt, Gemini, AI-powered search engines (e.g., perplexity AI)",Daily,"Studying and exam preparation, Creating presentations and reports",Neutral,Somewhat positive,Agree,Strongly agree,Discouraging and restrictive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Agree,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Don't know ,Lack of information 
2/27/2025 10:35:06,RUET,Undergraduate (4th Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, Gammerly, Quillbot",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Somewhat positive,Strongly agree,Agree,Encouraging and supportive,"Limited access, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Agree,No,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
2/27/2025 10:45:22,RUET,Undergraduate (4th Year),Engineering and Technology,Very familiar,"Chatgpt, Gemini, Gammerly, Turnitin, Quillbot, Deepseek, Grok3",Frequently (a few times a week),"Writing and grammar correction, Programing and coding help, Studying and exam preparation",Agree,Somewhat positive,Agree,Agree,Encouraging and supportive,"Limited access, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Neutral,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent","Workshops, Fundings",It can boost learning and efficiency but can hinder deep thinking if overused.
2/27/2025 15:46:47,PUST,Undergraduate (4th Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Gemini, Turnitin",Frequently (a few times a week),"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Neutral,Neutral,Encouraging and supportive,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Neutral,Yes,Not sure,"More accuracy in responses, Better understanding of context and intent","support systems are essential. These include:  Workshops and Training Programs: Regular workshops and training sessions are critical for building AI literacy across various departments. These should be tailored to different skill levels, from basic introductions to AI concepts to advanced topics for researchers and technical staff.  Funding and Grants: Securing financial support for AI initiatives is crucial. This includes funding for research, AI projects, infrastructure, and the hiring of experts. Establishing internal or external grant programs specifically for AI can help accelerate adoption.  Infrastructure and Technology: Adequate computing power, cloud services, and AI development tools are essential for smooth AI implementation. This may include access to GPUs for deep learning tasks, cloud platforms for scalability, and software libraries like TensorFlow or PyTorch.  Cross-Disciplinary Collaboration: Promoting collaboration between departments such as IT, research, and domain experts will ensure that AI solutions are aligned with institutional needs and goals. This can be facilitated through cross-disciplinary workshops, meetings, and projects.  Data Management and Governance: Clear policies on data collection, storage, sharing, and privacy will support the responsible use of AI. Developing a solid data governance framework ensures data quality and compliance with regulations.  AI Expertise and Talent Development: Hiring AI experts, data scientists, and machine learning engineers is crucial for developing and maintaining AI systems. In addition, establishing mentorship programs for junior researchers or staff can help upskill the workforce.  Collaboration with External Partners: Partnerships with industry, academia, and AI startups can help provide knowledge exchange, access to cutting-edge technologies, and collaborative opportunities.  AI Ethics and Governance Framework: A clear framework for the ethical implementation of AI, including transparency, fairness, accountability, and inclusivity, is needed to guide AI initiatives in a responsible manner.  Supportive Leadership: Strong leadership and a clear vision from top management are essential to drive AI adoption, allocate resources, and align AI projects with institutional goals.  Building these support systems would create a strong foundation for the successful adoption and long-term integration of AI in the institution.   By ","ChatGPT  Log in You said: What support system (e.g., workshops,funding, infrastructure) are needed for effective AI adoption in your institution? ChatGPT said: To effectively adopt AI in an institution, several support systems are essential. These include:  Workshops and Training Programs: Regular workshops and training sessions are critical for building AI literacy across various departments. These should be tailored to different skill levels, from basic introductions to AI concepts to advanced topics for researchers and technical staff.  Funding and Grants: Securing financial support for AI initiatives is crucial. This includes funding for research, AI projects, infrastructure, and the hiring of experts. Establishing internal or external grant programs specifically for AI can help accelerate adoption.  Infrastructure and Technology: Adequate computing power, cloud services, and AI development tools are essential for smooth AI implementation. This may include access to GPUs for deep learning tasks, cloud platforms for scalability, and software libraries like TensorFlow or PyTorch.  Cross-Disciplinary Collaboration: Promoting collaboration between departments such as IT, research, and domain experts will ensure that AI solutions are aligned with institutional needs and goals. This can be facilitated through cross-disciplinary workshops, meetings, and projects.  Data Management and Governance: Clear policies on data collection, storage, sharing, and privacy will support the responsible use of AI. Developing a solid data governance framework ensures data quality and compliance with regulations.  AI Expertise and Talent Development: Hiring AI experts, data scientists, and machine learning engineers is crucial for developing and maintaining AI systems. In addition, establishing mentorship programs for junior researchers or staff can help upskill the workforce.  Collaboration with External Partners: Partnerships with industry, academia, and AI startups can help provide knowledge exchange, access to cutting-edge technologies, and collaborative opportunities.  AI Ethics and Governance Framework: A clear framework for the ethical implementation of AI, including transparency, fairness, accountability, and inclusivity, is needed to guide AI initiatives in a responsible manner.  Supportive Leadership: Strong leadership and a clear vision from top management are essential to drive AI adoption, allocate resources, and align AI projects with institutional goals.  Building these support systems would create a strong foundation for the successful adoption and long-term integration of AI in the institution.   You said: What is your overall opinion on the impact of AI tools in higher education?  ChatGPT said: AI tools have the potential to greatly transform higher education, offering both exciting opportunities and challenges. Here’s an overview of their impact:  Positive Impacts: Personalized Learning: AI can tailor educational experiences to individual students' needs, adapting to their learning styles, pacing, and strengths. It allows for more targeted interventions, helping students who may need extra support and challenging those who are excelling.  Efficiency in Administrative Tasks: AI can streamline administrative processes such as grading, scheduling, and student support. For example, AI-driven systems can automate grading for multiple-choice tests or essays, reducing the administrative burden on instructors and allowing them to focus more on teaching.  Data-Driven Insights: AI can analyze vast amounts of student data to provide insights into learning patterns, student progress, and potential areas of concern. These insights can guide decision-making for instructors and help identify students who might be at risk of falling behind.  Enhanced Research Capabilities: AI tools can support researchers by quickly processing large datasets, providing predictive models, and assisting with literature reviews. Machine learning models can help researchers uncover patterns and generate hypotheses that would be difficult to identify manually.  Access to Education: AI-powered platforms like chatbots, virtual assistants, and online tutoring can help bridge gaps in access to education, providing support to students regardless of location. This is especially valuable for non-traditional students or those studying remotely.  Cost Reduction: AI can potentially lower operational costs by automating administrative tasks and providing scalable learning solutions. This could lead to more affordable education, especially in an era of rising tuition costs.  Challenges and Considerations: Equity and Access: While AI has the potential to democratize education, there’s a risk that unequal access to technology could exacerbate existing inequalities. Not all students have equal access to the devices and internet connectivity necessary to fully benefit from AI-driven tools.  Data Privacy and Security: AI tools often rely on student data to function effectively. There is a concern about how this data is stored, shared, and used. Institutions must ensure that robust data privacy measures are in place to protect sensitive information.  Bias and Fairness: AI systems can sometimes reflect biases present in the data used to train them. In higher education, this could lead to discriminatory practices in admissions, grading, or student support. Institutions need to ensure that AI algorithms are transparent, regularly audited, and free from bias.  Faculty and Staff Adaptation: The integration of AI tools may require significant shifts in how educators teach and engage with students. Some faculty members may be resistant to adopting new technologies, or they might require additional training to use AI tools effectively.  Over-reliance on Technology: There’s a risk that institutions or educators might become overly reliant on AI tools, potentially undermining the role of human judgment, creativity, and critical thinking in the educational process.  Job Displacement: While AI can create efficiencies, there are concerns about job displacement for administrative staff or even educators if AI tools begin to take over roles traditionally filled by humans"
2/28/2025 0:37:49,RUET,Undergraduate (4th Year),Engineering and Technology,Somewhat familiar,"Chatgpt, Gemini, Gammerly",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Neutral,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,No,"Yes, as an elective course",Better understanding of context and intent,Workshop ,Somewhat needed beside books for informations
2/28/2025 0:38:06,PUST,Undergraduate (3rd Year),Humanities and Social Science,Very familiar,"Chatgpt, Gemini, Quillbot",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Studying and exam preparation",Strongly agree,Somewhat positive,Agree,Agree,Neutral,"Limited access, Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,Yes,"Yes, as an elective course","More accuracy in responses, Stronger plagiarism detection","Infrastructure, Funding",AI have a great impact and in future AI will be more effective 
2/28/2025 0:38:18,RU,Undergraduate (4th Year),Business Studies,Slightly familiar,Chatgpt,Rarely (Once a month or less),Studying and exam preparation,Neutral,Somewhat positive,Neutral,Agree,Neutral,Inaccurate or misleading information,Rarely,Neutral,No,"Yes, as an elective course",Better understanding of context and intent,Workshops,Average
2/28/2025 4:28:48,RUET,Undergraduate (2nd Year),Engineering and Technology,Very familiar,Chatgpt,Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Somewhat positive,Neutral,Strongly agree,Discouraging and restrictive,"Limited access, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Agree,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",Workshops and infrastructure,It has positive impact on education and helpful for students but somehow AI discourse student from creativity. 
2/28/2025 8:28:14,RUET,Graduate (Master’s),Science,Very familiar,"Chatgpt, Gemini, Gammerly, Quillbot, ",Daily,Creating presentations and reports,Agree,Neutral,Neutral,Neutral,Neutral,"Ethical concern (e.g., plagiarism, dependency)",Sometimes,Neutral,No,Not sure,More accuracy in responses,Workshops,Good
2/28/2025 12:48:09,PUST,Undergraduate (3rd Year),Humanities and Social Science,Very familiar,"Chatgpt, Gemini, Gammerly, Quillbot",Daily,"Writing and grammar correction, Studying and exam preparation, Creating presentations and reports, Any kind of idea",Strongly agree,Highly positive,Strongly agree,Neutral,Encouraging and supportive,"Ethical concern (e.g., plagiarism, dependency)",Most of the time,Disagree,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent",All r needed,It's a very important tools for our daily life . That makes our life easy via information and idea
2/28/2025 13:13:41,PUST,Undergraduate (1st Year),Humanities and Social Science,Very familiar,"Chatgpt, Gemini",Daily,"Writing and grammar correction, Studying and exam preparation",Agree,Highly positive,Agree,Neutral,Neutral,Limited access,Most of the time,Neutral,No,"Yes, as an elective course",Better understanding of context and intent,,
2/28/2025 13:14:41,PUST,Undergraduate (1st Year),Humanities and Social Science,Slightly familiar,Chatgpt,Frequently (a few times a week),Studying and exam preparation,Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,Lack of knowledge about AI tools,Always,,Yes,"No, it should not be part of the curriculum",More accuracy in responses,Strongly yes,A good sing 
2/28/2025 13:19:45,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,Chatgpt,Occasionally (a fe times a month),Studying and exam preparation,Agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Always,Strongly disagree,Yes,"Yes, as a core subject",Better understanding of context and intent,Yes,I think this helps me a lot in my studies
2/28/2025 13:23:01,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,Chatgpt,Occasionally (a fe times a month),"Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,Lack of knowledge about AI tools,Most of the time,Neutral,No,"Yes, as an elective course",Better understanding of context and intent,infrastructure ,Important 
2/28/2025 13:23:30,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,"Chatgpt, Gemini",Frequently (a few times a week),Studying and exam preparation,Strongly agree,Highly positive,Agree,Agree,Encouraging and supportive,Limited access,Most of the time,Neutral,No,"Yes, as a core subject",More accuracy in responses,All,Very important 
2/28/2025 13:48:28,PUST,Undergraduate (1st Year),Humanities and Social Science,Slightly familiar,"Chatgpt, Quillbot",Rarely (Once a month or less),"Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Most of the time,Neutral,Yes,Not sure,"More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
2/28/2025 14:09:23,PUST,Undergraduate (1st Year),Humanities and Social Science,Very familiar,Chatgpt,Daily,"Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Agree,Agree,Neutral,Limited access,Most of the time,Disagree,No,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent","infrastructure, funding ","AI is transforming higher education by making learning more efficient and accessible, but careful implementation is necessary to balance innovation with academic integrity and inclusivity. The key is to use AI as a supplement, not a replacement, for critical thinking and human interaction."
2/28/2025 14:22:18,PUST,Undergraduate (1st Year),Humanities and Social Science,Somewhat familiar,"Chatgpt, DeepSeek",Occasionally (a fe times a month),"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Disagree,Somewhat negative,Agree,Strongly agree,Discouraging and restrictive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Most of the time,Strongly agree,Yes,"Yes, as an elective course","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",All are needed. ,Negitive. 
2/28/2025 14:41:28,RUET,Undergraduate (4th Year),Engineering and Technology,Somewhat familiar,Chatgpt,Frequently (a few times a week),Creating presentations and reports,Strongly agree,Highly positive,Agree,Strongly agree,Discouraging and restrictive,"Ethical concern (e.g., plagiarism, dependency)",Most of the time,Agree,Yes,"Yes, as an elective course",Stronger plagiarism detection,,
2/28/2025 14:51:45,PUST,Undergraduate (4th Year),Engineering and Technology,Slightly familiar,"Chatgpt, Deep seek ",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Agree,Somewhat positive,Strongly agree,Neutral,Encouraging and supportive,Lack of knowledge about AI tools,Most of the time,Disagree,No,"Yes, as a core subject",Better understanding of context and intent,ICMAB,"AI tools have the potential to significantly enhance higher education by personalizing learning experiences, providing immediate feedback, automating administrative tasks, and assisting with content creation, ultimately leading to improved student engagement and learning outcomes"
2/28/2025 15:01:44,PUST,Undergraduate (1st Year),Humanities and Social Science,Not familiar at all,"Chatgpt, Gammerly, Turnitin",Daily,"Research assistance, Writing and grammar correction, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Strongly agree,Agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools, Ethical concern (e.g., plagiarism, dependency), Inaccurate or misleading information",Always,Neutral,No,"Yes, as an elective course","Better understanding of context and intent, Improved ethical guidelines for usage","Workshop, infrastructure ",Strongly helpful 
2/28/2025 15:05:09,PUST,Undergraduate (3rd Year),Business Studies,Slightly familiar,Chatgpt,Occasionally (a fe times a month),Studying and exam preparation,Neutral,Neutral,Agree,Neutral,Neutral,Lack of knowledge about AI tools,Sometimes,Neutral,No,Not sure,Better understanding of context and intent,,
2/28/2025 15:08:39,PUST,Undergraduate (4th Year),Engineering and Technology,Slightly familiar,"Chatgpt, Gemini, Quillbot",Frequently (a few times a week),"Research assistance, Writing and grammar correction, Programing and coding help, Studying and exam preparation, Creating presentations and reports",Strongly agree,Highly positive,Agree,Agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools",Most of the time,Neutral,No,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",AI Connect Bangladesh Summit,"In the digital era, artificial intelligence (AI) has evolved from a mere science fiction fantasy to a tangible reality that is revolutionizing various aspects of our lives. In the field of higher education, AI is playing a fundamental role in transforming the way students learn and prepare for the future."
2/28/2025 15:09:35,PUST,Undergraduate (2nd Year),Business Studies,Very familiar,"Chatgpt, Gemini",Daily,"Research assistance, Writing and grammar correction",Strongly agree,Highly positive,Strongly agree,Strongly agree,Encouraging and supportive,"Limited access, Lack of knowledge about AI tools",Most of the time,Neutral,Yes,"Yes, as a core subject","More accuracy in responses, Better understanding of context and intent, Stronger plagiarism detection, Improved ethical guidelines for usage",,
